,formula,spacegroup
396,LiAu3,P6_3/mmc
397,LiHg,Pm-3m
398,Li3Hg,Fm-3m
399,Li3Hg,I4/mmm
400,Li3Hg,P6_3/mmc
401,LiHg3,P6_3/mmc
402,LiHg3,I4/mmm
403,LiHg3,Fm-3m
404,LiHg3,Pm-3m
405,Li5Tl2,R-3m
406,Li2Tl,Cmcm
407,Li3Tl,Fm-3m
408,LiTl,Pm-3m
409,LiTl,Cmce
410,LiTl3,I4/mmm
411,LiTl3,Pm-3m
412,LiTl,P6_3/mmc
413,Li8Pb3,R-3m
414,Li3Pb,Fm-3m
415,Li7Pb2,P-3m1
416,Li17Pb4,F-43m
417,Li22Pb5,F-43m
418,LiPb,Pm-3m
419,Li10Pb3,P-43m
420,LiPb3,I4/mmm
421,Li3Bi,Fm-3m
422,LiBi,P4/mmm
423,Be4B,P4/nmm
424,Be2C,Fm-3m
425,Be3N2,Ia-3
426,Be3N2,P6_3/mmc
427,Be3N2,R3m
428,Be3N2,P-3m1
429,BeO,P6_3mc
430,BeO,F-43m
431,BeO,P4_2/mnm
432,BeO,P1
433,BeO,Fm-3m
434,BeO2,P2_1
435,BeO2,P2_12_12_1
436,BeF2,I-43m
437,BeF2,P3_121
438,BeF2,P6_222
439,BeF2,R-3m
440,BeF2,P2_1
441,BeF2,C2
442,BeF2,Cmmm
443,BeF2,P6/mmm
444,Mg149Be,P-6m2
445,MgBe13,Fm-3c
446,BeP2,C2/c
447,Be3P2,Ia-3
448,Be3P2,I4_1/acd
449,Be3P2,Pn-3m
450,BeS,F-43m
451,BeCl2,Ibam
452,BeCl2,I-43m
453,BeCl2,I4_1/acd
454,BeCl2,P3_221
455,CaBe13,Fm-3c
456,ScBe5,P6/mmm
457,Sc2Be17,P6_3/mmc
458,ScBe13,Fm-3c
459,Ti2Be17,P6_3/mmc
460,Ti2Be17,R-3m
461,TiBe2,Fd-3m
462,TiBe3,R-3m
463,TiBe12,I4/mmm
464,TiBe,Pm-3m
465,TiBe12,P6/mmm
466,Ti3Be,I4/mmm
467,Be2V,P6_3/mmc
468,Be12V,I4/mmm
469,Be2Cr,P6_3/mmc
470,Be12Cr,I4/mmm
471,MnBe2,P6_3/mmc
472,MnBe3,Pm-3m
473,MnBe12,I4/mmm
474,Mn3Be,P6_3/mmc
475,Be2Fe,P6_3/mmc
476,Be3Fe,Pm-3m
477,Be5Fe,F-43m
478,Be12Fe,I4/mmm
479,BeFe3,Cmmm
480,BeCo,Pm-3m
481,Be3Co,P6_3/mmc
482,Be3Co,I4/mmm
483,Be5Co,F-43m
484,Be12Co,I4/mmm
485,Be2Co,Fmmm
486,BeNi,Pm-3m
487,Be3Ni,I4/mmm
488,Be3Ni,P6_3/mmc
489,BeNi3,I4/mmm
490,BeNi3,Pm-3m
491,Be2Cu,Fd-3m
492,Be3Cu,R3m
493,BeCu,Pm-3m
494,Be3Cu,Fm-3m
495,BeSe,F-43m
496,BeSe,P6_3/mmc
497,BeSe,Fm-3m
498,BeBr2,Ibam
499,SrBe13,Fm-3c
500,YBe13,Fm-3c
501,ZrBe5,P6/mmm
502,Zr2Be17,R-3m
503,ZrBe13,Fm-3c
504,ZrBe2,P6/mmm
505,Be3Nb,R-3m
506,Be17Nb2,R-3m
507,Be2Nb,Fd-3m
508,Be12Nb,I4/mmm
509,Be2Nb3,P4/mbm
510,Be2Mo,P6_3/mmc
511,Be12Mo,I4/mmm
512,Be22Mo,Fd-3m
513,Be3Tc,Pm-3m
514,Be3Ru,I4/mmm
515,Be2Ru,P6_3/mmc
516,Be3Ru,P6_3/mmc
517,Be17Ru3,Im-3
518,Be8Ru,P-6m2
519,Be46Ru7,P3m1
520,BeRh,Pm-3m
521,Be3Rh,P6_3/mmc
522,Be3Rh,I4/mmm
523,Be46Rh7,P3m1
524,BePd,Pm-3m
525,BePd2,I4/mmm
526,BePd3,Cmcm
527,Be5Pd,F-43m
528,Be3Pd,I4/mmm
529,Be12Pd,I4/mmm
530,BeTe,F-43m
531,BeI2,Ibam
532,BeI2,I4_1/acd
533,LaBe13,Fm-3c
534,CeBe13,Fm-3c
535,PrBe13,Fm-3c
536,NdBe13,Fm-3c
537,SmBe13,Fm-3c
538,EuBe13,Fm-3c
539,GdBe13,Fm-3c
540,TbBe13,Fm-3c
541,DyBe13,Fm-3c
542,HoBe13,Fm-3c
543,ErBe13,Fm-3c
544,TmBe13,Fm-3c
545,YbBe13,Fm-3c
546,LuBe13,Fm-3c
547,HfBe5,P6/mmm
548,Hf2Be17,P6_3/mmc
549,Hf2Be17,R-3m
550,HfBe13,Fm-3c
551,HfBe2,P6/mmm
552,HfBe,Cmcm
553,TaBe3,R-3m
554,TaBe2,Fd-3m
555,Ta2Be17,R-3m
556,Ta3Be2,P4/mbm
557,Ta2Be,I4/mcm
558,TaBe12,I4/mmm
559,Be2W,P6_3/mmc
560,Be12W,I4/mmm
561,Be22W,Fd-3m
562,Be2Re,P6_3/mmc
563,Be22Re,Fd-3m
564,Be17Os3,Im-3
565,Be46Os7,P3m1
566,Be3Ir,I4/mmm
567,Be46Ir7,P3m1
568,Be5Pt,F-43m
569,Be12Pt,I4/mmm
570,BeAu,P2_13
571,BeAu2,I4/mmm
572,Be5Au,F-43m
573,ThBe13,Fm-3c
574,PaBe13,Fm-3c
575,UBe13,Fm-3c
576,PuBe13,Fm-3c
577,Na3B20,Cmmm
578,NaB15,Imma
579,MgB4,Pnma
580,MgB2,P6/mmm
581,MgB7,Imma
582,Al23B50,P-1
583,AlB2,P6/mmm
584,KB6,Pm-3m
585,CaB6,Pm-3m
586,CaB4,P4/mbm
587,CaB2,P6/mmm
588,ScB2,P6/mmm
589,ScB12,Fm-3m
590,TiB2,P6/mmm
591,Ti3B4,Immm
592,TiB,Pnma
593,Ti2B,I4/mcm
594,TiB12,Fm-3m
595,VB,Cmcm
596,V5B6,Cmmm
597,V3B4,Immm
598,V2B3,Cmcm
599,VB2,P6/mmm
600,V3B2,P4/mbm
601,CrB,I4_1/amd
602,CrB,Cmcm
603,Cr3B4,Immm
604,Cr2B3,Cmcm
605,Cr5B3,I4/mcm
606,Cr2B,Fddd
607,Cr2B,I4/mcm
608,CrB2,P6/mmm
609,CrB4,Pnnm
610,CrB4,Immm
611,Mn3B4,Immm
612,Mn2B,I4/mcm
613,MnB,Pnma
614,MnB2,P6/mmm
615,MnB4,P2_1/c
616,MnB4,Pnnm
617,MnB4,Immm
618,Mn4B,F222
619,FeB,I4_1/amd
620,FeB,Cmcm
621,Fe2B,I4/mcm
622,FeB,Pnma
623,Fe2B7,Pbam
624,FeB4,Pnnm
625,Fe23B6,Fm-3m
626,Fe3B,I-4
627,FeB2,P6/mmm
628,Fe3B,Pnma
629,CoB,Pnma
630,Co2B,I4/mcm
631,Co5B16,Pmma
632,Co23B6,Fm-3m
633,Co4B,Pm
