,formula,spacegroup
80050,SmCuSeO,P4/nmm
80051,Sm2Cu(SeO3)4,P2_1/c
80052,EuCuSeO,P4/nmm
80053,Eu2CuSe2O,P4/mmm
80054,GdCuSeO,P4/nmm
80055,Gd2Cu(SeO3)4,P2_1/c
80056,DyCuSeO,P4/nmm
80057,CuHg(SeO3)2,P2_1/c
80058,Tl2Cu3(SeO3)6,P-1
80059,TlCu2(SeO5)2,C2/m
80060,Cu2Pb(SeO3)3,P-1
80061,CuBi2(SeO3)4,P2_1/c
80062,CuBi2Se3O11,Aem2
80063,CuBiSeO,P4/nmm
80064,CuBi2Se2O,P4/mmm
80065,Sr2CuBrO2,R-3m
80066,Sr2Cu(BrO)2,I4/mmm
80067,Sr2Cu(BrO)2,P4/mmm
80068,Sr2Cu3(BrO2)2,I4/mmm
80069,CuSb2BrO3,Cmc2_1
80070,Cu2Te2Br2O5,P-4
80071,Cu3Te2(BrO3)2,C2/m
80072,Ba2CuBrO2,R-3m
80073,Ba4Cu3BrO6,Im-3m
80074,Ba2Cu3(BrO2)2,I4/mmm
80075,Rb2Cu2(MoO4)3,C2/c
80076,Rb6CuAgO4,P4_1
80077,Rb2Cu2I4O,P2_12_12_1
80078,RbTa7(CuO7)3,Amm2
80079,Sr2Y2Cu2O7,Ima2
80080,Sr2YCu3O7,Pmmm
80081,Sr2YCu3O7,Ima2
80082,Sr3Nb2CuO9,C2/m
80083,SrNb2CuO7,I-4m2
80084,Sr2CuMoO6,I4/m
80085,Sr2Cu2MoO7,Cm
80086,Sr10Cu(RuO5)4,I4/m
80087,SrCu3(RuO3)4,Im-3
80088,Sr3CuRhO6,C2/c
80089,SrCu3(SnO3)4,Im-3
80090,Sr2Cu2SnO7,Ima2
80091,Sr2Cu2SbO7,Ima2
80092,Sr2CuTeO6,I4/m
80093,SrCu(TeO3)2,P4_132
80094,SrCuTe2O7,Pbcm
80095,Sr2Cu2TeO7,Ima2
80096,Sr2Cu(IO)2,I4/mmm
80097,Sr2Cu3(IO2)2,I4/mmm
80098,BaSr(CuO2)2,P4/mmm
80099,Ba3Sr(Cu2O5)2,P1
80100,Ba7Sr(Cu2O5)4,P1
80101,Ba3Sr(CuO3)4,P4/mmm
80102,Ba7Sr(CuO3)8,Pm-3m
80103,SrLa3(CuO4)2,Amm2
80104,SrLa2(CuO3)2,I4/mmm
80105,SrLaCuO4,I4mm
80106,SrLa3(Cu2O5)2,Pm
80107,Sr3La(CuO2)4,Pmc2_1
80108,Sr6Pr3Cu6O17,Imm2
80109,SrNd2(CuO3)2,I4/mmm
80110,SrNd2(CuO3)2,I4mm
80111,SrDy2CuO5,Pnma
80112,SrHo2CuO5,Pnma
80113,Sr2TaCu2O7,Ima2
80114,Sr8Cu(WO6)3,P1
80115,Sr2CuWO6,I4/m
80116,Sr2Cu2WO7,Cm
80117,Sr2CuOsO6,I4/m
80118,Sr3CuIrO6,C2/c
80119,Sr4CuIr2O9,P1
80120,Sr3CuPtO6,C2/c
80121,Sr2TlCuO5,P4/mmm
80122,Sr6Tl3Cu3O16,C2/m
80123,Sr2Cu(BiO3)2,Cccm
80124,Sr10Cu5Bi10O29,P1
80125,Sr10Cu5Bi10O29,C2
80126,Sr4Cu2Bi4O13,C2
80127,SrCuBiO4,I4/mmm
80128,Sr2Cu2BiO7,Ima2
80129,YCu(MoO4)2,Pbca
80130,YCu3(MoO3)4,Im-3
80131,YCu3(AgO3)4,Im-3
80132,YCu3(SnO3)4,Im-3
80133,YCu3(SbO3)4,Im-3
80134,BaY2CuO5,Pnma
80135,Ba3Y5(CuO5)3,P2_1/c
80136,Ba2YCuO5,P4/mmm
80137,Ba4Y(CuO3)3,Pm-3n
80138,Ba14Y7(Cu10O21)2,P1
80139,BaYCu2O5,P4/mmm
80140,Ba2Y(CuO2)3,P4/mmm
80141,Ba10Y5Cu15O32,P-1
80142,Ba4Y2Cu6O13,Pmmm
80143,Ba4Y2Cu5O14,Cm
80144,Ba4Y2Cu6O13,Fmmm
80145,Ba10Y5(Cu5O11)3,P-1
80146,Ba8Y4(Cu4O9)3,C2/m
80147,Ba6Y3Cu9O20,P-1
80148,Ba10Y5Cu15O34,P-1
80149,Ba2YCu3O7,Pmmm
80150,Ba2Y(CuO2)3,Pmm2
80151,Ba4Y2Cu7O15,Cmmm
80152,Ba2YCu3O8,P4/mmm
80153,Ba2Y(CuO2)4,Cmmm
80154,Ba2Y(CuO2)3,P-4m2
80155,Ba2Y(Cu2O3)2,Cmmm
80156,BaYCu4O7,P6_3mc
80157,YCu(WO4)2,P-1
80158,YCu(WO4)2,P2/c
80159,Y2Cu3(WO4)6,P2/c
80160,Y2Cu3(WO4)6,P-1
80161,YCu3(WO4)6,P2/c
80162,YCu3(WO4)6,P-1
80163,YCu3(WO3)4,P-1
80164,YCu3(BiO3)4,Im-3
80165,La2ZrCuO6,P2_1/m
80166,La3Zr2Cu7O12,I4_1/acd
80167,TaNbCu3O8,P1
80168,InCu(MoO4)2,C2/c
80169,CuSb(MoO4)2,C2/c
80170,Ba4Cu3MoO12,Im-3m
80171,La4Cu3MoO12,P2_1/m
80172,La4Cu3MoO12,Im-3m
80173,LaCu(MoO4)2,Pbca
80174,La4Cu6(MoO4)9,R3c
80175,PrCu(MoO4)2,Pbca
80176,NdCu(MoO4)2,Pbca
80177,SmCu(MoO4)2,Pbca
80178,EuCu(MoO4)2,Pbca
80179,GdCu(MoO4)2,Pbca
80180,TbCu(MoO4)2,Pbca
80181,DyCu(MoO4)2,Pbca
80182,HoCu(MoO4)2,Pbca
80183,ErCu(MoO4)2,Pbca
80184,YbCu(MoO4)2,Pbca
80185,YbCu2(MoO4)3,P2_1/m
80186,Ba3CuRu2O9,Cmcm
80187,BaCuRu5O11,P6_3/mmc
80188,LaCu3(RuO3)4,Im-3
80189,PrCu3(RuO3)4,Im-3
80190,NdCu3(RuO3)4,Im-3
80191,La2CuRhO6,P2_1/c
80192,CuAg4TeO6,C2/c
80193,BaCu2(AgO2)2,P4/nbm
80194,CuAg10(PbO4)3,C2
80195,CsIn(Cu3O4)2,Fm-3m
80196,Ba2InCuO4,P4/mmm
80197,Ba3In4(CuO4)3,I4/mcm
80198,BaIn(Cu3O4)2,Fm-3m
80199,InCu(WO4)2,C2/c
80200,Ba4Cu3SnO9,Pm-3n
80201,La2CuSnO6,P2_1/m
80202,Cu3Sn4PbO12,Im-3
80203,Ba3CuSb2O9,P6_3mc
80204,BaCuSbO5,P4mm
80205,Cu2Bi3Sb3O14,R-3m
80206,Ba2CuTeO6,C2/m
80207,Ba2CuTeO6,I4/m
80208,BaCuTe2O7,Ama2
80209,La4Cu3TeO12,Im-3m
80210,LaCuTeO,P4/nmm
80211,La2CuTe2O,P4/mmm
80212,CeCuTeO,P4/nmm
80213,NdCuTeO,P4/nmm
80214,Cu3Hg2(Te3O8)2,P42_12
80215,Tl4CuTeO6,P-1
80216,CuTe2PbO7,Pbcm
80217,Cu3TePbO7,Pnma
80218,Cu3TePbO8,Fdd2
80219,CuBiTeO,P4/nmm
80220,CuBi2Te2O,P4/mmm
80221,Ba2CuIO2,P2_1/m
80222,Ba4Cu3IO12,Im-3m
80223,CuPb2I3O2,Fddd
80224,BaLa4Cu5O12,P4/m
80225,Ba3La3(Cu3O7)2,Fmm2
80226,Ba2La(CuO2)3,P4/mmm
80227,Ba4La2Cu6O13,Fmmm
80228,Ba3La3(Cu3O7)2,Pmmm
80229,Ba2LaCu3O7,Pmmm
80230,Ba2LaCu3O7,P4mm
80231,Ba2LaCu3O8,P4/mmm
80232,BaPr2CuO5,P4/mbm
80233,Ba2Pr(CuO2)3,P4/mmm
80234,Ba4Pr2Cu6O13,Fmmm
80235,BaPrCu2O5,Pmm2
80236,Ba2PrCu3O7,Pmmm
80237,Ba2Pr(CuO2)4,Cmmm
80238,Ba2PrCu3O8,P4/mmm
80239,Ba2Pr(CuO2)3,P-4m2
80240,BaNd2CuO5,P4/mbm
80241,Ba4Nd2Cu2O9,P-4n2
80242,Ba3Nd3(Cu3O7)2,Fmm2
80243,Ba4Nd5Cu9O22,P2/m
80244,Ba2Nd(CuO2)3,P4/mmm
80245,Ba4Nd2Cu6O13,Fmmm
80246,Ba2NdCu3O7,Pmmm
80247,BaSm2CuO5,Pnma
80248,Ba4Sm2Cu2O9,P-4n2
80249,Ba4Sm(CuO3)3,Pm-3n
80250,Ba2Sm(CuO2)3,P4/mmm
80251,Ba10Sm5(Cu5O11)3,P-1
80252,Ba2SmCu3O7,Pmmm
80253,Ba2Sm(CuO2)4,Cmmm
80254,Ba4Eu2Cu6O13,Fmmm
80255,Ba2EuCu3O7,Pmmm
80256,Ba2Eu(CuO2)4,Cmmm
80257,Ba4Gd(CuO3)3,Pm-3n
80258,Ba8Gd4(Cu4O9)3,C2/m
80259,Ba2GdCu3O7,Pmmm
80260,Ba2Gd(CuO2)4,Cmmm
80261,BaDy2CuO5,Pnma
80262,Ba4Dy(CuO3)3,Pm-3n
80263,Ba2DyCu3O7,Pmmm
80264,Ba2Dy(CuO2)4,Cmmm
80265,BaHo2CuO5,Pnma
80266,Ba4Ho(CuO3)3,Pm-3n
80267,Ba2Ho(CuO2)3,P4/mmm
80268,Ba10Ho5(Cu5O11)3,P-1
80269,Ba2HoCu3O7,Pmmm
80270,Ba2Ho(CuO2)4,Cmmm
80271,BaEr2CuO5,Pnma
80272,Ba10Er5Cu15O34,P-1
80273,Ba2ErCu3O7,Pmmm
80274,Ba2Er(CuO2)4,Cmmm
80275,BaTm2CuO5,Pnma
80276,Ba4Tm2Cu6O13,Fmmm
80277,Ba2TmCu3O7,Pmmm
80278,Ba2Tm(CuO2)4,Cmmm
80279,BaYb2CuO5,Pnma
80280,Ba4Yb(CuO3)3,Pm-3n
80281,Ba2YbCu3O7,Pmmm
80282,Ba2Yb(CuO2)4,Cmmm
80283,BaLu2CuO5,Pnma
80284,Ba2Lu(CuO2)3,P4/mmm
80285,Ba2LuCu3O7,Pmmm
80286,BaTaCuO5,P4mm
80287,Ba2CuWO6,I4/m
80288,Ba2CuWO6,I4/mmm
80289,BaCuWO5,P4mm
80290,Ba4Cu3ReO12,Im-3m
80291,BaCuReO5,P4mm
80292,Ba2CuOsO6,I4/m
80293,Ba2CuHgO4,P4/mmm
80294,Ba10Cu5Hg5O21,P-1
80295,Ba8Cu4Hg4O17,C2/m
80296,Ba6Cu3Hg3O13,C2/m
80297,Ba2Cu2HgO6,P4/mmm
80298,BaCu2(HgO2)2,P4/nbm
80299,Ba2TlCuO5,P4/mmm
80300,Ba2Tl2CuO6,Cmce
80301,Ba2Tl2CuO6,I4/mmm
80302,Ba2TlCu3O7,Pmmm
80303,BaTlCuO4,I4/mmm
80304,Ba4Cu3PbO9,Pm-3n
80305,La3Nd(CuO4)2,P4mm
80306,LaNdCuO4,I4mm
80307,La3Nd(CuO4)2,Cm
80308,LaNdCuO4,C2/m
80309,La5Dy3(CuO4)4,P4mm
80310,LaCu(WO4)2,P-1
80311,La2CuIrO6,P2_1/c
80312,CeCu(WO4)2,P-1
80313,PrCu(WO4)2,P-1
80314,NdCu(WO4)2,P-1
80315,SmCu(WO4)2,P-1
80316,EuCu(WO4)2,P-1
80317,GdCu(WO4)2,P-1
80318,TbCu(WO4)2,P-1
80319,Dy2Cu(WO4)4,C2/c
80320,DyCu(WO4)2,P-1
80321,Ho5Cu(WO4)8,C2
80322,Ho2Cu(WO4)4,C2/c
80323,HoCu(WO4)2,P2/c
80324,ErCu(WO4)2,P2/c
80325,ErCu(WO4)2,P-1
80326,TmCu(WO4)2,P2/c
80327,YbCu(WO4)2,P2/c
80328,LuCu(WO4)2,P2/c
80329,CuBi(WO4)2,P1
80330,CuBi(WO4)2,P-1
80331,ZnInGaO4,R3m
80332,Zn2InGaO5,P6_3/mmc
80333,Zn3InGaO6,R3m
80334,Zn4InGaO7,P6_3/mmc
80335,ZnGa2(TeO3)4,I-42d
80336,Sr2ZnGe2O7,P-42_1m
80337,Zn3Ge3(MoO6)2,Ia-3d
80338,Zn3Ag2(GeO4)3,Ia-3d
80339,ZnAg2GeO4,Pc
80340,ZnSn(GeO3)2,C2/c
80341,ZnSn(GeO3)2,P2_1/c
80342,Zn3Sn2(GeO4)3,Ia-3d
80343,Zn3Ge3(SbO6)2,Ia-3d
80344,Ba2ZnGe2O7,P-42_1m
80345,BaZnGeO4,P6_3
80346,ZnGe2WO6,C2/c
80347,ZnGe2WO6,P2_1/c
80348,Zn3Ge3(WO6)2,Ia-3d
80349,Zn3Ge3(BiO6)2,Ia-3d
80350,SrZn2(AsO4)2,P2_1/c
80351,YZnAsO,P4/nmm
80352,ZnMoAsO5,P2_1
80353,Zn3Ag(AsO4)3,C2/c
80354,ZnAgAsO5,P2_12_12_1
80355,ZnSnAsO5,P2_1
80356,ZnSnAs2O7,P2_1/c
80357,Zn3Sn3(AsO4)4,P2_1/c
80358,ZnSbAsO5,P2_12_12_1
80359,BaZnAs2O7,P2_1/c
80360,BaZn2(AsO4)2,P2_1/c
80361,Ba2Zn3(AsO)2,I4/mmm
80362,LaZnAsO,P4/nmm
80363,NdZnAsO,P4/nmm
80364,GdZnAsO,P4/nmm
80365,ErZnAsO,P4/nmm
80366,ZnAsWO5,P2_1
80367,ZnAs2WO7,P2_1/c
80368,Zn3As4W3O16,P2_1/c
80369,TlZnAsO4,P2_1
80370,ZnAs2Pb2O9,P2_1/m
80371,Zn2As2PbO10,C2/m
80372,ZnBiAsO5,P2_12_12_1
80373,SrZn(SeO3)2,P2_1/c
80374,Zn2MoSeO7,P2_1
80375,ZnIn2(SeO3)4,P2_1/c
80376,BaZn(SeO3)2,P2_1/c
80377,La2Zn(SeO)2,Cmce
80378,Ce2Zn(SeO)2,Ibam
80379,Zn2TeBr2O3,Pccn
80380,Rb4Zn(MoO4)3,Pbca
80381,Rb2Zn2(MoO4)3,P2_1/c
80382,Rb3Zn3(MoO4)4,I-43d
80383,Sr3Nb2ZnO9,P-3m1
80384,Sr2ZnMoO6,I4/m
80385,Sr2ZnMoO6,Fm-3m
80386,Sr6Zn(RuO6)2,C2/m
80387,SrZnRu5O11,P6_3/m
80388,Sr3ZnRhO6,R-3c
80389,Sr3Ta2ZnO9,P-3m1
80390,Sr2ZnWO6,P2_1/c
80391,Sr2ZnWO6,I4/m
80392,Sr2ZnWO6,Fm-3m
80393,Sr2ZnReO6,P2_1/c
80394,Sr2ZnReO6,I4/m
80395,Sr3ZnIrO6,R-3c
80396,Sr4Zn(IrO4)3,P-1
80397,Sr3ZnPtO6,R-3c
80398,Sr5Zn(PbO4)3,P31m
80399,BaY2ZnO5,Pnma
80400,Ba5Y8Zn4O21,I4/m
80401,Nb2Zn2SnO8,C2/c
80402,Nb2Zn2SbO8,P-1
80403,Nb2Zn2TeO8,P-1
80404,Ba3Nb2ZnO9,P-3m1
80405,TaNb2Zn2O8,P-1
80406,Nb2Zn2WO8,P-1
80407,NbZn(PbO3)2,R3m
80408,Nb3Zn2Bi3O14,P4_132
80409,Nb2Zn2BiO8,C2/c
80410,Zn2Ag2(MoO4)3,P1
80411,Zn2SbMoO6,P2_1/m
80412,Zn2TeMoO7,P2_1
80413,ZnTeMoO6,P2_12_12
80414,Ba2ZnMoO6,Fm-3m
80415,BaZn(MoO2)4,P-31m
80416,La2ZnMoO6,R-3
80417,PrZn(MoO3)2,Pc
80418,HoZn(MoO3)2,Pc
80419,TaZn2MoO6,P2_1/m
80420,Zn2MoWO6,R3
80421,Zn2MoWO6,P2_1/c
80422,Zn2MoWO6,P1
80423,Zn2Mo(WO4)2,P1
80424,ZnBiMoO5,P2_1/c
80425,ZnBiMoO5,Pbca
80426,Ba3ZnRu2O9,P6_3/mmc
80427,BaZnRu5O11,P6_3/m
80428,Zn2Bi6Ru8O27,C2
80429,La2ZnRhO6,P2_1/c
80430,Zn2AgSbO6,P2_1/m
80431,BaZn(AgO2)4,P-31m
80432,PrZn(AgO3)2,Pmn2_1
80433,TaZn2AgO6,P2_1/m
80434,Zn2AgWO6,P1
80435,Zn2AgWO6,P2_1/c
80436,ZnAgBiO5,P2_1/c
80437,ZnAgBiO5,Pbca
80438,Zn3Cd3(TeO6)2,Ia-3d
80439,Ba3Zn5In2O11,F-43m
80440,Zn2SnSbO6,P2_1/m
80441,Zn4Sn5(TeO6)3,C2
80442,BaZn(SnO2)4,P-31m
80443,La2ZnSnO6,R-3
80444,PrZn(SnO3)2,Pmn2_1
80445,HoZn(SnO3)2,Pmn2_1
80446,Ta2Zn2SnO8,C2/c
80447,TaZn2SnO6,P2_1/m
80448,Zn2SnWO6,P2_1/c
80449,Zn2SnWO6,P1
80450,Zn2SnIrO6,P2_1/c
80451,ZnSnBiO5,P2_1/c
80452,ZnSnBiO5,Pbca
80453,Ba3ZnSb2O9,P6_3/mmc
80454,BaZn(SbO2)4,P-31m
80455,La2ZnSbO6,R-3
80456,LaZnSbO,P4/nmm
80457,CeZnSbO,P4/nmm
80458,PrZn(SbO3)2,Pmn2_1
80459,PrZnSbO,P4/nmm
80460,NdZnSbO,P4/nmm
80461,HoZn(SbO3)2,P1
80462,TaZn2SbO6,P2_1/m
80463,Zn2SbWO6,P2_1/c
80464,Zn2SbWO6,P2_1/m
80465,Zn2SbWO6,P1
80466,ZnBiSbO5,Pbca
80467,Zn2BiSbO6,P2_1/m
80468,ZnBiSbO5,P2_1/c
80469,Ba2ZnTeO6,Fm-3m
80470,BaZnTe2O7,Ama2
80471,Zn2TeWO6,P2_1/c
80472,Zn4Te3W5O18,C2
80473,Zn2TeWO6,P1
80474,ZnPb(IO4)6,P-1
80475,BaLa2ZnO5,I4/mcm
80476,BaNd2ZnO5,I4/mcm
80477,BaSm2ZnO5,Pnma
80478,Ba5Eu8Zn4O21,I4/m
80479,BaEu2ZnO5,Pnma
80480,BaGd2ZnO5,Pnma
80481,Ba5Gd8Zn4O21,I4/m
80482,BaTb2ZnO5,Pnma
80483,BaDy2ZnO5,Pnma
80484,Ba5Dy8Zn4O21,I4/m
80485,BaHo2ZnO5,Pnma
80486,Ba5Ho8Zn4O21,I4/m
80487,BaEr2ZnO5,Pnma
80488,Ba5Er8Zn4O21,I4/m
80489,Ba2Er2Zn8O13,Cm
80490,BaTm2ZnO5,Pnma
80491,Ba5Tm8Zn4O21,I4/m
80492,Ba2Tm2Zn8O13,Cm
80493,Ba5Yb8Zn4O21,I4/m
80494,Ba3Lu2Zn5O11,F-43m
80495,Ba3Ta2ZnO9,P-3m1
80496,Ba2ZnWO6,Fm-3m
80497,BaZn(WO2)4,P-31m
80498,Ba2ZnReO6,Fm-3m
80499,Ba2ZnOsO6,Fm-3m
80500,Ba3ZnIr2O9,P6_3/mmc
80501,BaZn(BiO2)4,P-31m
80502,La2ZnWO6,R-3
80503,La2ZnIrO6,P2_1/c
80504,La2ZnBiO6,R-3
80505,PrZn(WO3)2,Pc
80506,Pr2ZnPtO6,P2_1/c
80507,PrZn(BiO3)2,Pmn2_1
80508,Nd2ZnPtO6,P2_1/c
80509,Sm2ZnPtO6,P2_1/c
80510,Eu2ZnPtO6,P2_1/c
80511,Gd2ZnPtO6,P2_1/c
80512,HoZn(WO3)2,P2_1
80513,HoZn(BiO3)2,Pmn2_1
80514,Ta2Zn2WO8,P1
80515,TaZn2WO6,P2_1/m
80516,TaZn2WO6,P2_1/c
80517,TaZn2WO6,Imm2
80518,Ta3Zn2Bi3O14,R-3m
80519,TaZnBiO5,P2_1/c
80520,TaZnBiO5,Pbca
80521,TaZn2BiO6,P2_1/m
80522,Zn2IrWO6,P2_1/c
80523,Zn2BiWO6,P2_1/c
80524,ZnBiWO5,Pbca
80525,ZnBiWO5,P2_1/c
80526,Zn2BiWO6,P1
80527,Rb2Ga2Ge3O10,C2
80528,SrGa2(GeO4)2,P2_1/c
80529,Cd3Ga2(GeO4)3,Ia-3d
80530,Ba3Ga2(Ge2O7)2,P321
80531,BaGa2(GeO4)2,P2_1/c
80532,BaGa2(GeO4)2,C2/c
80533,La3GaGe5O16,P-1
80534,LaGaGe2O7,P2_1/c
80535,PrGaGe2O7,P2_1/c
80536,NdGaGe2O7,P2_1/c
80537,SmGaGe2O7,P2_1/c
80538,EuGaGe2O7,P2_1/c
80539,GdGaGe2O7,P2_1/c
80540,TbGaGe2O7,P2_1/c
80541,DyGaGe2O7,P2_1/c
80542,Ga10GePb3O20,C2/m
80543,Ga2Ge4Pb3O14,P321
80544,Cs2Ga3As5O18,C2/c
80545,Rb3Ga2(Se2O7)2,Cmce
80546,Rb6Ga10Se20O61,P1
80547,Ga2Mo(SeO5)2,Pnma
80548,CsGa(SeO3)2,C2/m
80549,CsGa2(Se2O7)2,C2/c
80550,LaGaSe2O,Pca2_1
80551,SrYGa3O7,Cmm2
80552,Sr2NbGaO6,I4/m
80553,Sr2NbGaO6,Fm-3m
80554,Sr2GaMo2O7,C2
80555,Sr2GaSn2O7,C2
80556,Sr2GaSbO6,I4/m
80557,Sr2GaSbO6,Fm-3m
80558,Sr2GaSb2O7,C2
80559,SrLaGaO4,I4mm
80560,SrLaGa3O7,Cmm2
80561,SrPrGa3O7,Cmm2
80562,SrNdGaO4,I4mm
80563,SrNdGa3O7,Cmm2
80564,SrSmGa3O7,Cmm2
80565,Sr2TaGaO6,I4/m
80566,Sr2GaW2O7,P1
80567,Sr2GaBi2O7,Ima2
80568,Y3In2(GaO4)3,Ia-3d
80569,Ba6Y2Ga4O15,P2/c
80570,La3ZrGa5O14,P321
80571,La3NbGa5O14,P321
80572,La6NbGa11O28,C2
80573,Nd2NbGaO7,Imma
80574,Eu2NbGaO7,Imma
80575,Gd2NbGaO7,Imma
80576,Dy2NbGaO7,Imma
80577,NbGa(PbO3)2,Fm-3m
80578,Ga2Te2MoO10,Pnma
80579,La12Ga23MoO56,P1
80580,Ba20Ga5Ru7O44,Pm
80581,Ba5GaRu2O11,Pnma
80582,InGaSnO5,P2/m
80583,Ba2InGaO5,Ima2
80584,La3In2(GaO4)3,Ia-3d
80585,In12Ga4Ir2O15,Pnn2
80586,In6Ga2PtO8,Fm-3m
80587,La3Ga5SnO14,P321
80588,Gd2GaSbO7,Imma
80589,GaSb3Pb4O13,R3m
80590,GaBi3Sb2O11,Pc
80591,BaLaGaO4,P2_12_12_1
80592,Ba5La3(GaO4)4,P1
80593,Ba6La2Ga4O15,Cc
80594,BaNdGaO4,P2_12_12_1
80595,Ba6Tb2Ga4O15,P2/c
80596,Ba6Dy2Ga4O15,P2/c
80597,Ba6Ho2Ga4O15,P2/c
80598,Ba6Er2Ga4O15,P2/c
80599,Ba6Tm2Ga4O15,P2/c
80600,Ba6Lu2Ga4O15,P2/c
80601,Ba2Ga11BiO20,Cm
80602,LaPr3(GaO3)4,Pm
80603,La3Nd(GaO3)4,Pm
80604,La2Nd(GaO3)3,P1
80605,La3Nd(GaO3)4,C2
80606,LaNd3(GaO3)4,Pm
80607,La3Tm2(GaO4)3,Ia-3d
80608,La3Yb2(GaO4)3,Ia-3d
80609,La3Lu2(GaO4)3,Ia-3d
80610,La9Lu11(GaO4)12,C2
80611,La3HfGa5O14,P321
80612,La3TaGa5O14,P321
80613,La6TaGa11O28,C2
80614,La12Ga23WO56,P1
80615,Pr3Lu2(GaO4)3,Ia-3d
80616,Nd3Sm(GaO3)4,Pm
80617,Nd3Ho2(GaO4)3,Ia-3d
80618,Nd3Tm2(GaO4)3,Ia-3d
80619,Yb2Nd3(GaO4)3,Ia-3d
80620,Nd3Lu2(GaO4)3,Ia-3d
80621,Tb2GdGa5O12,I4_122
80622,TbGd2Ga5O12,I4_122
80623,Gd3Lu2(GaO4)3,Ia-3d
80624,TaGaBi2O7,Imma
80625,GePb2(SeO3)4,P2_1/c
80626,RbNbGeO5,P2_12_12_1
80627,RbNb(GeO3)3,P-6c2
80628,Rb2Sn(GeO3)3,P-3c1
80629,Rb12Sn8GeO4,P2_1/c
80630,RbGeSbO5,Pna2_1
80631,RbGeIO6,P312
80632,Rb2Ba(Ge4O9)2,P-3c1
80633,RbTaGeO5,P2_12_12_1
80634,RbTa(GeO3)3,P-6c2
80635,Sr3Y2(GeO4)3,Ia-3d
80636,SrGeTeO6,P312
80637,Sr3Er2(GeO4)3,Ia-3d
80638,Sr3Tm2(GeO4)3,Ia-3d
80639,Sr3Yb2(GeO4)3,Ia-3d
80640,SrGePbO4,P2_12_12_1
80641,SrGe12Pb2O27,C2
80642,YGeBiO5,Pbca
80643,Gd2GeMoO8,I-4
80644,Ag9Ge2IO8,C2/m
80645,Ce8Ag6Ge8O,Pmc2_1
80646,Ba2CdGe2O7,P-42_1m
80647,CdGe(BiO3)2,Pbcn
80648,CdGe(BiO3)2,P2_1/c
80649,TbInGe2O7,C2
80650,HoInGe2O7,C2
80651,In7GeIrO8,F-43m
80652,In6Ge2IrO8,Fm-3m
80653,In6Ge2PtO9,Fm-3m
80654,Cs2Sn(GeO3)3,P6_3/m
80655,Cs12Sn8GeO4,P2_1/c
80656,BaSn(GeO3)3,P-6c2
80657,Tl2Sn(GeO3)3,P-3c1
80658,CsGeSbO5,I4_122
80659,Cs3Ge2Sb3O13,Cmcm
80660,TlGeSbO5,Pna2_1
80661,Cs2Ge(TeO4)3,R-3m
80662,BaGePbO4,P2_12_12_1
80663,ErGeBiO5,Pbca
80664,YbGeBiO5,Pbca
80665,TaTl(GeO3)3,P-6c2
80666,Rb2As2Se6O,C2/c
80667,Cs2As2Se6O,C2/c
80668,Ba2AsSe4O3,Cm
80669,In4As5(BrO4)3,P-1
80670,La4AsBrO8,P4_2/m
80671,La3As2BrO7,P4_2/mnm
80672,Pr4AsBrO8,P4_2/m
80673,Hg3AsBrO4,P2_13
80674,As3Pb5BrO12,P6_3/m
80675,As3Pb2BrO6,P2_1/m
80676,RbZr2(AsO4)3,R-3c
80677,RbMoAsO6,Fddd
80678,Rb2MoAs2O9,P-1
80679,Rb2Mo3(As2O11)2,C2/c
80680,RbInAs2O7,P-1
80681,RbSnAsO5,Pna2_1
80682,Rb12Sn2As6O,P-3m1
80683,SrMo2(AsO6)2,P2_1/c
80684,SrCdAs2O7,P-1
80685,Sr3TaAs3O,Pnma
80686,SrHgAs2O7,P-1
80687,Ba3NbAs3O,Pnma
80688,AgMoAsO6,P2_12_12_1
80689,Ag3Mo3AsO13,P-1
80690,Cs7Mo8AsO30,Ibca
80691,Bi13Mo6(AsO14)3,Pc
80692,Bi7Mo2(AsO8)3,Pbcn
80693,LaAsRuO,P4/nmm
80694,CeAsRuO,P4/nmm
80695,NdAsRuO,P4/nmm
80696,SmAsRuO,P4/nmm
80697,Cs2As4Pd3O14,P4/n
80698,Ag3Te(AsO7)2,P2_1
80699,Ag13As3(IO3)4,P2_1/m
80700,AgHgAsO4,Fdd2
80701,AgHg2AsO4,Pbam
80702,Ag8Hg(AsO5)2,P31c
80703,BaCdAs2O7,P-1
80704,CeCdAsO,P4/nmm
80705,Cd2BiAsO6,Cmc2_1
80706,TlInAs2O7,P-1
80707,InAs2PbO8,P2_1/c
80708,Cs12Sn2As6O,P-3m1
80709,Ba3TaAs3O,Pnma
80710,BaHgAs2O7,P-1
80711,Nd10As8Au3O10,I4/m
80712,Sm10As8Au3O10,I4/m
80713,BiAsPbO5,C2/m
80714,Bi17As5Pb5O43,Cm
80715,Pb3Se2(BrO3)2,C2/c
80716,Bi6Se3(BrO7)2,P-1
80717,RbY(SeO3)2,Pnma
80718,Rb2Mo3SeO12,P6_3
80719,Rb2MoSeO6,Pnma
80720,Rb2Sn4Se9O,Pna2_1
80721,RbLa(SeO4)2,P2_1/c
80722,RbLaSe2O13,P2_1/c
80723,RbCeSe2O13,P2_1/c
80724,RbPr(SeO4)2,P2_1/c
80725,RbPrSe2O13,P2_1/c
80726,RbNdSe2O11,P-1
80727,RbSm(SeO4)2,P2_1/c
